Format Version,1.23,Take Name,linear_t2_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.30.14.140 AM,Total Frames in Take,2945,Total Exported Frames,2945,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"C4FF0","C4FF0","C4FF0","C5020","C5020","C5020","C5210","C5210","C5210","C5230","C5230","C5230","C5240","C5240","C5240","C53F0","C53F0","C53F0","C4520","C4520","C4520","C3890","C3890","C3890","C4B40","C4B40","C4B40","C3550","C3550","C3550","C51F0","C51F0","C51F0","C3660","C3660","C3660"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,0.310000,0.286232,0.092072,-0.189978,0.332288,0.095735,-0.214096,0.384154,0.070428,-0.271279,0.380678,0.166083,-0.263307,0.391657,0.155109,-0.165903,0.395068,0.061100,-0.176294,0.171334,0.067589,-0.476249,0.914255,0.065248,-0.523498,0.874262,0.105256,0.040376,0.975456,0.073041,0.460563,0.233603,0.072046,0.505565,0.867375,0.106809,-0.090570
32,0.320000,0.286292,0.092073,-0.189976,0.332139,0.096100,-0.213972,0.384249,0.070480,-0.271279,0.380691,0.166107,-0.263316,0.391729,0.155223,-0.165923,0.395167,0.061035,-0.176495,0.171334,0.067582,-0.476249,0.914255,0.065228,-0.523509,0.874256,0.105263,0.040374,0.975462,0.073056,0.460574,0.233604,0.072037,0.505569,0.867369,0.106820,-0.090568
33,0.330000,0.286364,0.092077,-0.189954,0.332429,0.095746,-0.214109,0.384332,0.070450,-0.271272,0.380726,0.166119,-0.263318,0.391757,0.155244,-0.165917,0.395196,0.061051,-0.176488,0.171327,0.067592,-0.476247,0.914255,0.065256,-0.523493,0.874266,0.105250,0.040372,0.975446,0.073028,0.460573,0.233610,0.072040,0.505572,0.867380,0.106817,-0.090569
34,0.340000,0.286527,0.092115,-0.189940,0.332546,0.095770,-0.214040,0.384428,0.070447,-0.271095,0.380781,0.166153,-0.263312,0.391819,0.155250,-0.165950,0.395231,0.061083,-0.176464,0.171336,0.067586,-0.476247,0.914259,0.065236,-0.523502,0.874256,0.105260,0.040377,0.975442,0.073048,0.460579,0.233616,0.072034,0.505570,0.867363,0.106812,-0.090569
35,0.350000,0.286783,0.091869,-0.189898,0.332639,0.095825,-0.214096,0.384704,0.070292,-0.270897,0.380845,0.166135,-0.263317,0.391962,0.155224,-0.165910,0.395288,0.061136,-0.176436,0.171327,0.067592,-0.476235,0.914257,0.065257,-0.523486,0.874262,0.105247,0.040373,0.975457,0.073057,0.460562,0.233614,0.072050,0.505568,0.867370,0.106820,-0.090569
36,0.360000,0.286853,0.092095,-0.189947,0.332829,0.095745,-0.214071,0.384851,0.070415,-0.270931,0.381017,0.165315,-0.262958,0.392202,0.155398,-0.166000,0.395379,0.061285,-0.176352,0.171341,0.067592,-0.476244,0.914247,0.065270,-0.523484,0.874268,0.105242,0.040368,0.975444,0.073053,0.460577,0.233617,0.072042,0.505566,0.867381,0.106810,-0.090579
37,0.370000,0.286995,0.092134,-0.189954,0.332912,0.095917,-0.213983,0.385088,0.070279,-0.270923,0.381291,0.166206,-0.263313,0.392425,0.155549,-0.165975,0.395486,0.061578,-0.176639,0.171331,0.067585,-0.476243,0.914252,0.065268,-0.523482,0.874263,0.105250,0.040373,0.975446,0.073042,0.460580,0.233615,0.072049,0.505566,0.867366,0.106826,-0.090575
38,0.380000,0.287252,0.092047,-0.190041,0.333131,0.095953,-0.214029,0.385405,0.070079,-0.271067,0.381511,0.166111,-0.263329,0.392743,0.155316,-0.166044,0.395692,0.061715,-0.176610,0.171330,0.067585,-0.476245,0.914247,0.065231,-0.523513,0.874259,0.105246,0.040376,0.975446,0.073035,0.460589,0.233617,0.072054,0.505571,0.867367,0.106823,-0.090576
39,0.390000,0.287582,0.091971,-0.190088,0.333354,0.096082,-0.214062,0.385790,0.070013,-0.271186,0.381857,0.166143,-0.263486,0.393058,0.155201,-0.166207,0.396222,0.061228,-0.176806,0.171330,0.067591,-0.476240,0.914255,0.065268,-0.523481,0.874256,0.105259,0.040369,0.975454,0.073056,0.460580,0.233611,0.072044,0.505568,0.867356,0.106818,-0.090575
40,0.400000,0.287869,0.092039,-0.190082,0.333661,0.096122,-0.214029,0.386016,0.069869,-0.271250,0.382167,0.166160,-0.263539,0.393165,0.155352,-0.166460,0.396609,0.061391,-0.176780,0.171330,0.067574,-0.476243,0.914254,0.065270,-0.523482,0.874267,0.105234,0.040363,0.975459,0.073040,0.460582,0.233611,0.072044,0.505569,0.867358,0.106815,-0.090579
